date,portfolio_value
2024-12-02,10000.0
2024-12-03,9805.604827515323
2024-12-04,9774.649042309104
2024-12-05,9710.192230840017
2024-12-06,9733.485083124688
2024-12-09,9610.905349395702
2024-12-10,9383.076331548571
2024-12-11,9520.452174084645
2024-12-12,9419.487544298052
2024-12-13,9403.355358739227
2024-12-16,9316.455794555437
2024-12-17,9288.817440934858
2024-12-18,8889.085161366935
2024-12-19,8950.109072374516
2024-12-20,9190.42142499658
2024-12-23,9299.12388721446
2024-12-24,9447.927744408506
2024-12-26,9440.025518595132
2024-12-27,9281.071869374082
2024-12-30,9255.555593678551
2024-12-31,9109.305518908355
2025-01-02,9365.243425467097
2025-01-03,9777.90145679256
2025-01-06,9999.066574215785
2025-01-07,9967.072024483186
2025-01-08,9753.837415962576
2025-01-10,9812.507861944887
2025-01-13,9619.833809755537
2025-01-14,9707.743168745192
2025-01-15,9924.71622511043
2025-01-16,10046.620474051526
2025-01-17,10135.801210809763
2025-01-21,10479.098188611168
2025-01-22,10428.648239807826
2025-01-23,10783.922828601964
2025-01-24,10902.57827340499
2025-01-27,9848.416451224904
2025-01-28,9873.908496785682
2025-01-29,10015.013127374343
2025-01-30,10436.249841486479
2025-01-31,10335.884300966007
2025-02-03,10428.332394352245
2025-02-04,10414.426416963615
2025-02-05,10548.200106661148
2025-02-06,10487.757457377504
2025-02-07,10604.214175752259
2025-02-10,10737.660328997417
2025-02-11,10598.710996114469
2025-02-12,10571.071253020718
2025-02-13,10567.83620374431
2025-02-14,10512.625965941215
2025-02-18,10531.766413400122
2025-02-19,10451.460054704336
2025-02-20,10324.429002018633
2025-02-21,9966.562089271218
2025-02-24,9756.664658157453
2025-02-25,9622.626544571494
2025-02-26,9797.091753736886
2025-02-27,9317.6568143068
2025-02-28,9339.821744046067
2025-03-03,8912.467837044383
2025-03-04,9132.455015436686
2025-03-05,9138.754138967259
2025-03-06,8732.261533924928
2025-03-07,8927.755657484651
2025-03-10,8798.47454775964
2025-03-11,8971.243762803035
2025-03-12,8967.713706636834
